Column Name,Label
S0101_C05_002M,Margin of Error_Female_Total population_AGE_Under 5 years
S0101_C05_003E,Estimate_Female_Total population_AGE_5 to 9 years
S0101_C05_003M,Margin of Error_Female_Total population_AGE_5 to 9 years
S0101_C05_004E,Estimate_Female_Total population_AGE_10 to 14 years
S0101_C05_004M,Margin of Error_Female_Total population_AGE_10 to 14 years
S0101_C05_005E,Estimate_Female_Total population_AGE_15 to 19 years
S0101_C05_005M,Margin of Error_Female_Total population_AGE_15 to 19 years
S0101_C05_006E,Estimate_Female_Total population_AGE_20 to 24 years
S0101_C05_006M,Margin of Error_Female_Total population_AGE_20 to 24 years
S0101_C05_007E,Estimate_Female_Total population_AGE_25 to 29 years
S0101_C05_007M,Margin of Error_Female_Total population_AGE_25 to 29 years
S0101_C05_008E,Estimate_Female_Total population_AGE_30 to 34 years
S0101_C05_008M,Margin of Error_Female_Total population_AGE_30 to 34 years
S0101_C05_009E,Estimate_Female_Total population_AGE_35 to 39 years
S0101_C05_009M,Margin of Error_Female_Total population_AGE_35 to 39 years
S0101_C05_010E,Estimate_Female_Total population_AGE_40 to 44 years
S0101_C05_010M,Margin of Error_Female_Total population_AGE_40 to 44 years
S0101_C05_011E,Estimate_Female_Total population_AGE_45 to 49 years
S0101_C05_011M,Margin of Error_Female_Total population_AGE_45 to 49 years
S0101_C05_012E,Estimate_Female_Total population_AGE_50 to 54 years
S0101_C05_012M,Margin of Error_Female_Total population_AGE_50 to 54 years
S0101_C05_013E,Estimate_Female_Total population_AGE_55 to 59 years
S0101_C05_013M,Margin of Error_Female_Total population_AGE_55 to 59 years
S0101_C05_014E,Estimate_Female_Total population_AGE_60 to 64 years
S0101_C05_014M,Margin of Error_Female_Total population_AGE_60 to 64 years
S0101_C05_015E,Estimate_Female_Total population_AGE_65 to 69 years
S0101_C05_015M,Margin of Error_Female_Total population_AGE_65 to 69 years
S0101_C05_016E,Estimate_Female_Total population_AGE_70 to 74 years
S0101_C05_016M,Margin of Error_Female_Total population_AGE_70 to 74 years
S0101_C05_017E,Estimate_Female_Total population_AGE_75 to 79 years
S0101_C05_017M,Margin of Error_Female_Total population_AGE_75 to 79 years
S0101_C05_018E,Estimate_Female_Total population_AGE_80 to 84 years
S0101_C05_018M,Margin of Error_Female_Total population_AGE_80 to 84 years
S0101_C05_019E,Estimate_Female_Total population_AGE_85 years and over
S0101_C05_019M,Margin of Error_Female_Total population_AGE_85 years and over
S0101_C05_020E,Estimate_Female_Total population_SELECTED AGE CATEGORIES_5 to 14 years
S0101_C05_020M,Margin of Error_Female_Total population_SELECTED AGE CATEGORIES_5 to 14 years
S0101_C05_021E,Estimate_Female_Total population_SELECTED AGE CATEGORIES_15 to 17 years
S0101_C05_021M,Margin of Error_Female_Total population_SELECTED AGE CATEGORIES_15 to 17 years
S0101_C05_022E,Estimate_Female_Total population_SELECTED AGE CATEGORIES_Under 18 years
