source_table,metric_group,metric_name,metric_kind
S1501,education,s1501_c01_018e,derived
S1501,education,s1501_c01_018m,derived
S1501,education,s1501_c01_019e,derived
S1501,education,s1501_c01_019m,derived
S1501,education,s1501_c01_020e,derived
S1501,education,s1501_c01_020m,derived
S1501,education,s1501_c01_021e,derived
S1501,education,s1501_c01_021m,derived
S1501,education,s1501_c01_022e,derived
S1501,education,s1501_c01_022m,derived
S1501,education,s1501_c01_023e,derived
S1501,education,s1501_c01_023m,derived
S1501,education,s1501_c01_024e,derived
S1501,education,s1501_c01_024m,derived
S1501,education,s1501_c01_025e,derived
S1501,education,s1501_c01_025m,derived
S1501,education,s1501_c01_026e,derived
S1501,education,s1501_c01_026m,derived
S1501,education,s1501_c01_027e,derived
S1501,education,s1501_c01_027m,derived
S1501,education,s1501_c01_028e,derived
S1501,education,s1501_c01_028m,derived
S1501,education,s1501_c01_029e,derived
S1501,education,s1501_c01_029m,derived
S1501,education,s1501_c01_030e,derived
S1501,education,s1501_c01_030m,derived
S1501,education,s1501_c01_031e,derived
S1501,education,s1501_c01_031m,derived
S1501,education,s1501_c01_032e,derived
S1501,education,s1501_c01_032m,derived
S1501,education,s1501_c01_033e,derived
S1501,education,s1501_c01_033m,derived
S1501,education,s1501_c01_034e,derived
S1501,education,s1501_c01_034m,derived
S1501,education,s1501_c01_035e,derived
S1501,education,s1501_c01_035m,derived
S1501,education,s1501_c01_036e,derived
S1501,education,s1501_c01_036m,derived
S1501,education,s1501_c01_037e,derived
S1501,education,s1501_c01_037m,derived
S1501,education,s1501_c01_038e,derived
S1501,education,s1501_c01_038m,derived
S1501,education,s1501_c01_039e,derived
S1501,education,s1501_c01_039m,derived
S1501,education,s1501_c01_040e,derived
S1501,education,s1501_c01_040m,derived
S1501,education,s1501_c01_041e,derived
S1501,education,s1501_c01_041m,derived
